Person,Day,Role,Value,Name,Assignment,y
10,10,1,0.0,Member 10,Ah Counter,0
10,10,10,0.0,Member 10,Speech Evaluator 2,0
10,10,11,0.0,Member 10,Speech Evaluator 3,0
10,10,12,1.0,Member 10,Speech Evaluator 4,12
10,10,13,0.0,Member 10,General evaluator,0
10,10,14,0.0,Member 10,Table topic master,0
10,10,15,0.0,Member 10,Table topic evalauator 1,0
10,10,16,0.0,Member 10,Table topic evalauator 2,0
10,10,17,0.0,Member 10,Harkmaster,0
10,10,2,0.0,Member 10,Grammarian,0
10,10,3,0.0,Member 10,Timer,0
10,10,4,0.0,Member 10,Toastmaster,0
10,10,5,0.0,Member 10,Meeting speaker 1,0
10,10,6,0.0,Member 10,Meeting speaker 2,0
10,10,7,0.0,Member 10,Meeting speaker 3,0
10,10,8,0.0,Member 10,meeting speaker 4,0
10,10,9,0.0,Member 10,Speech Evaluator 1,0
10,11,1,0.0,Member 10,Ah Counter,0
10,11,10,0.0,Member 10,Speech Evaluator 2,0
10,11,11,0.0,Member 10,Speech Evaluator 3,0
10,11,12,0.0,Member 10,Speech Evaluator 4,0
10,11,13,0.0,Member 10,General evaluator,0
10,11,14,0.0,Member 10,Table topic master,0
10,11,15,0.0,Member 10,Table topic evalauator 1,0
10,11,16,0.0,Member 10,Table topic evalauator 2,0
10,11,17,0.0,Member 10,Harkmaster,0
10,11,2,0.0,Member 10,Grammarian,0
10,11,3,0.0,Member 10,Timer,0
10,11,4,0.0,Member 10,Toastmaster,0
10,11,5,0.0,Member 10,Meeting speaker 1,0
10,11,6,1.0,Member 10,Meeting speaker 2,6
10,11,7,0.0,Member 10,Meeting speaker 3,0
10,11,8,0.0,Member 10,meeting speaker 4,0
10,11,9,0.0,Member 10,Speech Evaluator 1,0
10,12,1,0.0,Member 10,Ah Counter,0
10,12,10,0.0,Member 10,Speech Evaluator 2,0
10,12,11,0.0,Member 10,Speech Evaluator 3,0
10,12,12,0.0,Member 10,Speech Evaluator 4,0
10,12,13,0.0,Member 10,General evaluator,0
10,12,14,0.0,Member 10,Table topic master,0
10,12,15,0.0,Member 10,Table topic evalauator 1,0
10,12,16,0.0,Member 10,Table topic evalauator 2,0
10,12,17,0.0,Member 10,Harkmaster,0
10,12,2,0.0,Member 10,Grammarian,0
10,12,3,0.0,Member 10,Timer,0
10,12,4,0.0,Member 10,Toastmaster,0
10,12,5,0.0,Member 10,Meeting speaker 1,0
10,12,6,0.0,Member 10,Meeting speaker 2,0
10,12,7,0.0,Member 10,Meeting speaker 3,0
10,12,8,0.0,Member 10,meeting speaker 4,0
10,12,9,0.0,Member 10,Speech Evaluator 1,0
10,13,1,0.0,Member 10,Ah Counter,0
10,13,10,0.0,Member 10,Speech Evaluator 2,0
10,13,11,1.0,Member 10,Speech Evaluator 3,11
10,13,12,0.0,Member 10,Speech Evaluator 4,0
10,13,13,0.0,Member 10,General evaluator,0
10,13,14,0.0,Member 10,Table topic master,0
10,13,15,0.0,Member 10,Table topic evalauator 1,0
10,13,16,0.0,Member 10,Table topic evalauator 2,0
10,13,17,0.0,Member 10,Harkmaster,0
10,13,2,0.0,Member 10,Grammarian,0
10,13,3,0.0,Member 10,Timer,0
10,13,4,0.0,Member 10,Toastmaster,0
10,13,5,0.0,Member 10,Meeting speaker 1,0
10,13,6,0.0,Member 10,Meeting speaker 2,0
10,13,7,0.0,Member 10,Meeting speaker 3,0
10,13,8,0.0,Member 10,meeting speaker 4,0
10,13,9,0.0,Member 10,Speech Evaluator 1,0
10,14,1,0.0,Member 10,Ah Counter,0
10,14,10,0.0,Member 10,Speech Evaluator 2,0
10,14,11,0.0,Member 10,Speech Evaluator 3,0
10,14,12,0.0,Member 10,Speech Evaluator 4,0
10,14,13,0.0,Member 10,General evaluator,0
10,14,14,0.0,Member 10,Table topic master,0
10,14,15,0.0,Member 10,Table topic evalauator 1,0
10,14,16,0.0,Member 10,Table topic evalauator 2,0
10,14,17,0.0,Member 10,Harkmaster,0
10,14,2,0.0,Member 10,Grammarian,0
10,14,3,0.0,Member 10,Timer,0
10,14,4,0.0,Member 10,Toastmaster,0
10,14,5,0.0,Member 10,Meeting speaker 1,0
10,14,6,0.0,Member 10,Meeting speaker 2,0
10,14,7,0.0,Member 10,Meeting speaker 3,0
10,14,8,0.0,Member 10,meeting speaker 4,0
10,14,9,1.0,Member 10,Speech Evaluator 1,9
10,15,1,0.0,Member 10,Ah Counter,0
10,15,10,0.0,Member 10,Speech Evaluator 2,0
10,15,11,0.0,Member 10,Speech Evaluator 3,0
10,15,12,0.0,Member 10,Speech Evaluator 4,0
10,15,13,0.0,Member 10,General evaluator,0
10,15,14,0.0,Member 10,Table topic master,0
10,15,15,0.0,Member 10,Table topic evalauator 1,0
10,15,16,1.0,Member 10,Table topic evalauator 2,16
10,15,17,0.0,Member 10,Harkmaster,0
10,15,2,0.0,Member 10,Grammarian,0
10,15,3,0.0,Member 10,Timer,0
10,15,4,0.0,Member 10,Toastmaster,0
10,15,5,0.0,Member 10,Meeting speaker 1,0
10,15,6,0.0,Member 10,Meeting speaker 2,0
10,15,7,0.0,Member 10,Meeting speaker 3,0
10,15,8,0.0,Member 10,meeting speaker 4,0
10,15,9,0.0,Member 10,Speech Evaluator 1,0
10,16,1,0.0,Member 10,Ah Counter,0
10,16,10,0.0,Member 10,Speech Evaluator 2,0
10,16,11,0.0,Member 10,Speech Evaluator 3,0
10,16,12,0.0,Member 10,Speech Evaluator 4,0
10,16,13,0.0,Member 10,General evaluator,0
10,16,14,1.0,Member 10,Table topic master,14
10,16,15,0.0,Member 10,Table topic evalauator 1,0
10,16,16,0.0,Member 10,Table topic evalauator 2,0
10,16,17,0.0,Member 10,Harkmaster,0
10,16,2,0.0,Member 10,Grammarian,0
10,16,3,0.0,Member 10,Timer,0
10,16,4,0.0,Member 10,Toastmaster,0
10,16,5,0.0,Member 10,Meeting speaker 1,0
10,16,6,0.0,Member 10,Meeting speaker 2,0
10,16,7,0.0,Member 10,Meeting speaker 3,0
10,16,8,0.0,Member 10,meeting speaker 4,0
10,16,9,0.0,Member 10,Speech Evaluator 1,0
10,17,1,0.0,Member 10,Ah Counter,0
10,17,10,0.0,Member 10,Speech Evaluator 2,0
10,17,11,0.0,Member 10,Speech Evaluator 3,0
10,17,12,0.0,Member 10,Speech Evaluator 4,0
10,17,13,0.0,Member 10,General evaluator,0
10,17,14,0.0,Member 10,Table topic master,0
10,17,15,0.0,Member 10,Table topic evalauator 1,0
10,17,16,0.0,Member 10,Table topic evalauator 2,0
10,17,17,0.0,Member 10,Harkmaster,0
10,17,2,0.0,Member 10,Grammarian,0
10,17,3,0.0,Member 10,Timer,0
10,17,4,0.0,Member 10,Toastmaster,0
10,17,5,0.0,Member 10,Meeting speaker 1,0
10,17,6,0.0,Member 10,Meeting speaker 2,0
10,17,7,0.0,Member 10,Meeting speaker 3,0
10,17,8,0.0,Member 10,meeting speaker 4,0
10,17,9,0.0,Member 10,Speech Evaluator 1,0
10,18,1,0.0,Member 10,Ah Counter,0
10,18,10,0.0,Member 10,Speech Evaluator 2,0
10,18,11,0.0,Member 10,Speech Evaluator 3,0
10,18,12,0.0,Member 10,Speech Evaluator 4,0
10,18,13,0.0,Member 10,General evaluator,0
10,18,14,0.0,Member 10,Table topic master,0
10,18,15,0.0,Member 10,Table topic evalauator 1,0
10,18,16,0.0,Member 10,Table topic evalauator 2,0
10,18,17,0.0,Member 10,Harkmaster,0
10,18,2,0.0,Member 10,Grammarian,0
10,18,3,0.0,Member 10,Timer,0
10,18,4,0.0,Member 10,Toastmaster,0
10,18,5,0.0,Member 10,Meeting speaker 1,0
10,18,6,0.0,Member 10,Meeting speaker 2,0
10,18,7,0.0,Member 10,Meeting speaker 3,0
10,18,8,0.0,Member 10,meeting speaker 4,0
10,18,9,0.0,Member 10,Speech Evaluator 1,0
10,19,1,0.0,Member 10,Ah Counter,0
10,19,10,0.0,Member 10,Speech Evaluator 2,0
10,19,11,0.0,Member 10,Speech Evaluator 3,0
10,19,12,0.0,Member 10,Speech Evaluator 4,0
10,19,13,0.0,Member 10,General evaluator,0
10,19,14,0.0,Member 10,Table topic master,0
10,19,15,0.0,Member 10,Table topic evalauator 1,0
10,19,16,0.0,Member 10,Table topic evalauator 2,0
10,19,17,0.0,Member 10,Harkmaster,0
10,19,2,0.0,Member 10,Grammarian,0
10,19,3,1.0,Member 10,Timer,3
10,19,4,0.0,Member 10,Toastmaster,0
10,19,5,0.0,Member 10,Meeting speaker 1,0
10,19,6,0.0,Member 10,Meeting speaker 2,0
10,19,7,0.0,Member 10,Meeting speaker 3,0
10,19,8,0.0,Member 10,meeting speaker 4,0
10,19,9,0.0,Member 10,Speech Evaluator 1,0
10,1,1,0.0,Member 10,Ah Counter,0
10,1,10,0.0,Member 10,Speech Evaluator 2,0
10,1,11,0.0,Member 10,Speech Evaluator 3,0
10,1,12,0.0,Member 10,Speech Evaluator 4,0
10,1,13,0.0,Member 10,General evaluator,0
10,1,14,0.0,Member 10,Table topic master,0
10,1,15,0.0,Member 10,Table topic evalauator 1,0
10,1,16,0.0,Member 10,Table topic evalauator 2,0
10,1,17,1.0,Member 10,Harkmaster,17
10,1,2,0.0,Member 10,Grammarian,0
10,1,3,0.0,Member 10,Timer,0
10,1,4,0.0,Member 10,Toastmaster,0
10,1,5,0.0,Member 10,Meeting speaker 1,0
10,1,6,0.0,Member 10,Meeting speaker 2,0
10,1,7,0.0,Member 10,Meeting speaker 3,0
10,1,8,0.0,Member 10,meeting speaker 4,0
10,1,9,0.0,Member 10,Speech Evaluator 1,0
10,20,1,0.0,Member 10,Ah Counter,0
10,20,10,0.0,Member 10,Speech Evaluator 2,0
10,20,11,0.0,Member 10,Speech Evaluator 3,0
10,20,12,0.0,Member 10,Speech Evaluator 4,0
10,20,13,0.0,Member 10,General evaluator,0
10,20,14,0.0,Member 10,Table topic master,0
10,20,15,0.0,Member 10,Table topic evalauator 1,0
10,20,16,0.0,Member 10,Table topic evalauator 2,0
10,20,17,0.0,Member 10,Harkmaster,0
10,20,2,1.0,Member 10,Grammarian,2
10,20,3,0.0,Member 10,Timer,0
10,20,4,0.0,Member 10,Toastmaster,0
10,20,5,0.0,Member 10,Meeting speaker 1,0
10,20,6,0.0,Member 10,Meeting speaker 2,0
10,20,7,0.0,Member 10,Meeting speaker 3,0
10,20,8,0.0,Member 10,meeting speaker 4,0
10,20,9,0.0,Member 10,Speech Evaluator 1,0
10,21,1,0.0,Member 10,Ah Counter,0
10,21,10,0.0,Member 10,Speech Evaluator 2,0
10,21,11,0.0,Member 10,Speech Evaluator 3,0
10,21,12,0.0,Member 10,Speech Evaluator 4,0
10,21,13,0.0,Member 10,General evaluator,0
10,21,14,0.0,Member 10,Table topic master,0
10,21,15,0.0,Member 10,Table topic evalauator 1,0
10,21,16,0.0,Member 10,Table topic evalauator 2,0
10,21,17,0.0,Member 10,Harkmaster,0
10,21,2,0.0,Member 10,Grammarian,0
10,21,3,0.0,Member 10,Timer,0
10,21,4,1.0,Member 10,Toastmaster,4
10,21,5,0.0,Member 10,Meeting speaker 1,0
10,21,6,0.0,Member 10,Meeting speaker 2,0
10,21,7,0.0,Member 10,Meeting speaker 3,0
10,21,8,0.0,Member 10,meeting speaker 4,0
10,21,9,0.0,Member 10,Speech Evaluator 1,0
10,22,1,0.0,Member 10,Ah Counter,0
10,22,10,0.0,Member 10,Speech Evaluator 2,0
10,22,11,0.0,Member 10,Speech Evaluator 3,0
10,22,12,0.0,Member 10,Speech Evaluator 4,0
10,22,13,0.0,Member 10,General evaluator,0
10,22,14,0.0,Member 10,Table topic master,0
10,22,15,0.0,Member 10,Table topic evalauator 1,0
10,22,16,0.0,Member 10,Table topic evalauator 2,0
10,22,17,0.0,Member 10,Harkmaster,0
10,22,2,0.0,Member 10,Grammarian,0
10,22,3,0.0,Member 10,Timer,0
10,22,4,0.0,Member 10,Toastmaster,0
10,22,5,1.0,Member 10,Meeting speaker 1,5
10,22,6,0.0,Member 10,Meeting speaker 2,0
10,22,7,0.0,Member 10,Meeting speaker 3,0
10,22,8,0.0,Member 10,meeting speaker 4,0
10,22,9,0.0,Member 10,Speech Evaluator 1,0
10,23,1,0.0,Member 10,Ah Counter,0
10,23,10,0.0,Member 10,Speech Evaluator 2,0
10,23,11,0.0,Member 10,Speech Evaluator 3,0
10,23,12,0.0,Member 10,Speech Evaluator 4,0
10,23,13,0.0,Member 10,General evaluator,0
10,23,14,0.0,Member 10,Table topic master,0
10,23,15,0.0,Member 10,Table topic evalauator 1,0
10,23,16,0.0,Member 10,Table topic evalauator 2,0
10,23,17,0.0,Member 10,Harkmaster,0
10,23,2,0.0,Member 10,Grammarian,0
10,23,3,0.0,Member 10,Timer,0
10,23,4,0.0,Member 10,Toastmaster,0
10,23,5,0.0,Member 10,Meeting speaker 1,0
10,23,6,0.0,Member 10,Meeting speaker 2,0
10,23,7,0.0,Member 10,Meeting speaker 3,0
10,23,8,0.0,Member 10,meeting speaker 4,0
10,23,9,0.0,Member 10,Speech Evaluator 1,0
10,24,1,0.0,Member 10,Ah Counter,0
10,24,10,0.0,Member 10,Speech Evaluator 2,0
10,24,11,0.0,Member 10,Speech Evaluator 3,0
10,24,12,0.0,Member 10,Speech Evaluator 4,0
